actual	greedy	beam_search	greedy_wer	greedy_cer	beam_search_wer	beam_search_cer
after his term outerbridge became president of harvey and company limited	afte his trme outerbrge becam president of arvey an campaney limitadd	after his term outrage became president of harvey and company limited	0.7272727272727273	0.1643835616438356	0.09090909090909091	0.0684931506849315
the colonial parkway is free of trucks and commercial vehicles except passengercarrying buses	si conior parkqwrr is frey of truc and comiser veacles eeptpbascenter caring busces	senor parker is free of truck and commissar vales except a center caring busses	0.7692307692307693	0.3333333333333333	0.7692307692307693	0.3333333333333333
in other instances a syndrome is not specific to only one disease	in atha instenss a sentrom is not spessifick to onliuant desesed	in the intense sintram is not specific to and diseased	0.5833333333333334	0.2923076923076923	0.5833333333333334	0.3076923076923077
francis xavier in rochester	francsess saveir in rochas stare	frances saver in rochester	1.0	0.4074074074074074	0.5	0.1111111111111111
the gerringong district was home to a highly productive dairy industry	the gering long district wars home to a higly proudutive dar industri	the ring long district was home to a highly productive dairy industry	0.6363636363636364	0.14285714285714285	0.18181818181818182	0.07142857142857142
caldwell was released when his contract expired at the end of the season	oas caol the word weat liast win heis contact exsded the ind offesisnm	as all the world a list in his contracted the end of sin	1.0	0.5416666666666666	0.8461538461538461	0.5138888888888888
a minitower case will typically have only one or two external bays	ay meney towr cas wil tipicly have only one or to external bas	ay mine tower as will tipple have only one or two external bas	0.6666666666666666	0.19696969696969696	0.5	0.18181818181818182
wallace is currently retired from teaching	wh mus thes cornte retared from tuchin	why must this corner retired from touchin	1.0	0.42857142857142855	0.8333333333333334	0.42857142857142855
daponte was born in buenos aires	dalparint was born in granos arras	dupont was born in grand airs	0.5	0.3125	0.5	0.25
an ultraviolet light is not visible to the human eye	an altraf bi alet liate is not viipale to the human y	an altar billet late is not visible to the human	0.6	0.2692307692307692	0.4	0.25
tague was born on a farm near plainfield indiana	sld grow ous wone one a fome near blone feillt indeend	old grog as one on a farm near lone felt indeed	1.0	0.5625	0.7777777777777778	0.4583333333333333
it then performs a sequence of simplifications to find a minimal ideal triangulation	it theen perfrmes as sequents ofve simlifecaions to find a menimarle idel trangullacion	it then performs a sequence of simplification to find a minimal ideal translation	0.6923076923076923	0.21428571428571427	0.15384615384615385	0.047619047619047616
however when brazil became a republic the nobility ranks were all abolished	how erevale whowene brasile becam a repoublick the nobel eiditiinss were al aboullisd	how evil shown brasil became a republic the noble editions were all abolished	0.8333333333333334	0.37333333333333335	0.5	0.22666666666666666
a smaller protest in the neighboring town of guelma was dispersed the same evening	a smorne rf prutest ans a naboring can of grelma wil disprs the same even	a sort of protest and a laboring man of great will disperse the same even	0.7857142857142857	0.32926829268292684	0.7142857142857143	0.36585365853658536
slovak literature is the literature of slovakia	sielorve you tak is only take off snoby gia	so you take is only taken off so gay	1.1428571428571428	0.6595744680851063	1.1428571428571428	0.6595744680851063
the wetland reserve consists of recreated habitats designed for water fowls and other wildlife	they were tlentrisef qinsistoforye teted abidan disind forward toholes in ader wrled lays	they were then rise into fretted abidin send forward those in delays	1.0	0.48936170212765956	1.0	0.5957446808510638
victor was episcopalian	vicktl was a piscolpadian	victor was episcopalian	1.0	0.30434782608695654	0.0	0.0
concert tours have taken him to almost all european countries	conset chrs he tackin him to almost al europan cauntrys	one has he taken him to almost all european countries	0.7	0.22950819672131148	0.3	0.16393442622950818
there are interesting relations between scalespace representation and biological vision and hearing	they ar intresting relacsions bistwinscil spacs representasion and by a laddge col vion and aring	they are interesting relations with tinsel as representation and by a collision and ring	1.0833333333333333	0.29292929292929293	0.6666666666666666	0.2828282828282828
images are tagged manually to assist with computer recognition	immadges a tek di manraly to assis the wold conpeuturt of copenishein	images and manly to assist the old computer of cornishmen	1.2222222222222223	0.4838709677419355	0.7777777777777778	0.41935483870967744
as a consequence george e davis is regarded as the world's first chemical engineer	elte consequentts jrge e deng as sin gdrin as the ws hoase caimcot ingin	the consequent judge e g as sure as the wise was not in	0.8571428571428571	0.5	0.7857142857142857	0.5609756097560976
it is located in the northeast corner of the island	it is locaseat inthe north east corne of the ay lind	it is located in the north east corner of the alien	0.7	0.19607843137254902	0.3	0.11764705882352941
economic and commercial relations between spain and the bahamas are limited	ecienomick and comershoal relacions betwen sping and e bea hamass are limiter	economic and commercial relations between spring and the bahamas are limited	0.8181818181818182	0.22666666666666666	0.09090909090909091	0.02666666666666667
the team was coached by ezio rossi then replaced by alberto cavasin	the timnas oushe bay as the orose then replaed biy albartar cavarlin	the times the bay as he rose then replaced by alberta carlin	0.8333333333333334	0.373134328358209	0.6666666666666666	0.3283582089552239
newars consider lifecycle rituals as a preparation for death and the life after it	neoas consider life sicar rethrolds as a preparation fore deth and the livfe after it	naus consider life sir retorts as a preparation for death and the life after it	0.5	0.18292682926829268	0.2857142857142857	0.14634146341463414
it starred brian dennehy as clarence darrow and fred thompson as william jennings bryan	it stare brin andenahe as clarncs daro and fred tomson as wlyom janins brion	it stared in eden as clarence darrow and fred thompson as william jennings bryan	0.6428571428571429	0.26436781609195403	0.21428571428571427	0.10344827586206896
krakowski was born in parsippanytroy hills new jersey	caarcosce as ban en pasipening thray hills ne gersy	rose was born in painting there hills nursey	1.0	0.41509433962264153	0.625	0.41509433962264153
at sea the powerful royal navy blockaded much of the coastline conducting frequent raids	out ses e polfar rownd naviye blowc he mach as a cowsmn comeditp in fricantd rainds	houses far round naive blow he matches come come in front rains	1.1428571428571428	0.5	1.0	0.5795454545454546
john bonham the drummer for led zeppelin took his nickname bonzo from the dog	jone bonanm the dramaw for let sepalin tok his nicke named bonsol frome the doge	one name the drama for let sealin took his nickname bands from the dog	0.7857142857142857	0.2597402597402597	0.42857142857142855	0.24675324675324675
it is the seat of the municipality of prebold	it is the tscin off the bootis pely to of atame porpled	it is the sin of the bees to adam purple	0.7777777777777778	0.5333333333333333	0.5555555555555556	0.5111111111111111
it was written by lori lansens and directed by robert boyd	et was ritene by a lori lunens and deitad bavr with id	it was written by a lord linden and edited with	0.7272727272727273	0.3793103448275862	0.6363636363636364	0.39655172413793105
the authorities of the athenian state celebrated it at about the same time	he asthordyws of the einean state selabrated at about the same time	the authors of the engine state seated at about the same time	0.38461538461538464	0.21621621621621623	0.3076923076923077	0.24324324324324326
it derives from integumentum which means a covering in latin	goment of veciumins af covering tda later	garment of veins of covering the latter	0.9	0.6	0.9	0.6333333333333333
initially his work was concerned with modelling and exploring structures of livingsystems	eny shinik miswr hosco somddeth mntiin and explorings lougdtas of thmrvrassie tns	and since mister houston some motion and exploring lots of that	0.9166666666666666	0.5842696629213483	0.75	0.6067415730337079
however pitino's plan was foiled by nelson whose team had the sixth pick	how ever petinous lenas fild biy nolsein wostim had the siket ek	how ever heinous plan was filled by one whose time had the sick eh	0.8461538461538461	0.3333333333333333	0.6153846153846154	0.3055555555555556
two years after her mother' death elizabeth's father married her mother's sister mary stuart	to yers after her mothers deh in mis abettfos hil thow maryed hirmothers sisster maristuoet	two years after her mother's death and his abettors while thou married her mother's sister mariet	0.9285714285714286	0.32608695652173914	0.5714285714285714	0.2826086956521739
it is the southern terminus for the battery a defensive seawall and promenade	it is the solthanceminus fore the beds houe a defensive sewl and rominad	it is the southern terminus for the bees to a defensive shell and promenade	0.5384615384615384	0.2727272727272727	0.23076923076923078	0.12987012987012986
she looked at him as if she would not trouble to answer	se loktd att hemr es ef showre bud troblen to arso	she looked at her as if some bad trouble to ask	0.9166666666666666	0.41818181818181815	0.4166666666666667	0.2909090909090909
there is a subway to renaissance college using exit a	their is a subway to runison's colege yousing egs at ay	there is a subway to union college using exit y	0.7	0.3018867924528302	0.2	0.16981132075471697
this included the first issues of the incredible hulk and the xmen	tis incluoud that the frsst ishuws off the incredi wile haollck an them ec men	this included that the first issues of the incredible hock and them men	1.0833333333333333	0.3787878787878788	0.3333333333333333	0.13636363636363635
wigan athletic were elected to the football league in place of southport	weg and athlettick wer ellected to the fopballecke in place of sowth port	wiegand athletic were elected to the folk in place of southport	0.75	0.2222222222222222	0.25	0.19444444444444445
a child's nails should not be pared during the first year	a childs nales should nott be pard duoring the frst yer	a child's nails should not be pared during the first year	0.6363636363636364	0.14035087719298245	0.0	0.0
these systems collaborated to give baton rouge good situational awareness	thes sistems culaborated to give batanrgge god situational awarnes	the stems collaborated to give bane good situation awareness	0.7	0.1506849315068493	0.5	0.1780821917808219
there is little hereditary descent in succession to the sovereignty	ther is littl haredetery desent in sissceion to the soveronte	there is little hereditary descent in succession to the sovereignty	0.6	0.22388059701492538	0.0	0.0
trigo  trigo is the founder of the empire	trago trago is the founder ofe the emper	trego trego is the founder of the empire	0.5	0.14634146341463414	0.25	0.07317073170731707
as an incorporated city california city has its own police and fire departments	ase an corperated d sitly culifrndya'sity as ics one poulise on fied d eppartmente	as incorporated city california city as its one police on fire departments	1.0	0.34177215189873417	0.3076923076923077	0.10126582278481013
china southern cargo is the cargo subsidiary of china southern airlines	chinas ssovean cagowe is the cauglaesisigria of china sosina ealln	china son cargo is the colossi of china susan ellen	0.6363636363636364	0.43661971830985913	0.45454545454545453	0.38028169014084506
after his accession the king was known by his royal titles only	aoffter his asetion the cing was non by his royil titles only	after his ascension the king was known by his royal titles only	0.4166666666666667	0.15873015873015872	0.08333333333333333	0.031746031746031744
the school has spent significant time and effort into developing inquiry based learning	the scl haspent signifecoant tim an efer in to develaping inquiary bacet lerning	the school has spent significant time and ever into developing inquiry based learning	0.9230769230769231	0.20689655172413793	0.07692307692307693	0.04597701149425287
the outermost is longest and each successive feather toward the center is shorter	they oultr mowsed as long asd and eachte saucesivefavra to was thiof santar eas shoaarton	the outer mused as long as and each successive far too was that santa is short	1.0769230769230769	0.4567901234567901	0.8461538461538461	0.2962962962962963
barleti wrote this work as an eyewitness	bar ledy rot this work as an i witnes	barley rot this work as an i witness	0.7142857142857143	0.225	0.5714285714285714	0.175
this climate supports the fairchild and carrie glaciers on its slopes	the cline wit se ports of frechadan ciry glases on itslops	the line with reports of frenchman glasses on its slopes	1.0	0.43478260869565216	0.7272727272727273	0.4782608695652174
the building turned into a cultural arts center and within it ozomatli was born	the bilding trnd into a cultra larce sentere and within it osomatly was brn	the building turned into a cultural large centre and within it also mary was born	0.5	0.16455696202531644	0.2857142857142857	0.1518987341772152
careysburg district and todee district are the two statutorily created districts in the county	crisbrg district and cdy district athresd s whos editary uathers districts in the conte	carisbury district and district others whose diary waters district in the county	0.5714285714285714	0.3404255319148936	0.5714285714285714	0.3404255319148936
attis is said to have been changed into a pine tree	aters is sead to have been changed in to a pin tri	asters is seed to have been changed into a pine tree	0.5454545454545454	0.1568627450980392	0.18181818181818182	0.09803921568627451
it forms by far the greater part of their food	ind folspring r be crats wie rclin fere frt	spring be as we are here for	1.0	0.6739130434782609	1.0	0.6739130434782609
it is within the craigavon borough council area	it has witheme te crayve gaovon baroucansar arin	it is with the region brogans arn	0.875	0.46808510638297873	0.625	0.40425531914893614
the remainder of the grain was to be sold	ar weda olspectro cshovrs slit	are we a spent horse	1.0	0.7073170731707317	1.0	0.7560975609756098
hoy is known to hold some socially conservative views including being prolife on abortion	hy is none to hold some so shaly counservitive vhews in gooding being pror lavpt onabushan	he is known to hold some so shady conservative views in golding being prowled on austin	0.7857142857142857	0.30337078651685395	0.5	0.21348314606741572
the plant is unisexual	the flunt is sronoal sexshare	the plant is nonsense	0.75	0.5909090909090909	0.25	0.3181818181818182
i don't like to make predictable albums	and hed gout anof to mount predouk to wine unde bahs	and he got off to mount and baths	1.4285714285714286	0.8461538461538461	1.0	0.7692307692307693
dunfermline abbey is one of scotland's most important cultural sites	danfrm liy arbe is won of scoelands most impartend caltral site	dan firmly abe is one of scotland's most imparted cultural site	0.8	0.25	0.5	0.19117647058823528
the poets and musicians were part of an allembracing bardic system	oet and meusismnes we partoff and alll ambraing bud egsisteiom	poets and musicians were part of an all embracing buddhism	0.9090909090909091	0.42424242424242425	0.36363636363636365	0.21212121212121213
like previous speakers elevated to the lords he sits as a crossbench peer	like prvious specores ellovated tothe lords he sits as a cross bench pel	like previous speakers elevated to the lords he sits as a cross bench peal	0.6153846153846154	0.1506849315068493	0.23076923076923078	0.0410958904109589
by his wife aline bassett he was father of hugh the elder despenser	bi his wife a lean baset hewas father of hew the odore desdespensoe	by his wife a lean bassett he was father of the ore deepens	0.6153846153846154	0.29850746268656714	0.38461538461538464	0.23880597014925373
limbs uniform blackish brown	anlans et a sold blou cish rowed	and yet so blockish rowed	1.75	0.7142857142857143	1.25	0.5714285714285714
it is sawed in two by a young man and a maiden	it tas saowmoage end told by a young man or ga madean	it was song and told by a young man or a man	0.5833333333333334	0.41304347826086957	0.5	0.3695652173913043
oolites usually consist of calcium carbonate these belong to the limestone rock family	e lets youserly consistd ofve calaune carbunads rils belongd to ther landstone rocke frmily	it's usually consist of alan carbonates is belong to the london rock family	1.0	0.3488372093023256	0.38461538461538464	0.23255813953488372
today it is the largest institute of musical education in italy	to day i this lea leugers o stius of mwsick parrsedcaionn in italion an wh	to day it is la legere stirs of musick education in italian	1.1818181818181819	0.5396825396825397	0.6363636363636364	0.30158730158730157
he later attended the university of cambridge in england	he later atended the yuniversity ofe cambrege and ingland	he later attended the university of cambridge and england	0.6666666666666666	0.14285714285714285	0.1111111111111111	0.03571428571428571
wareham is built on a low dry island between the marshy river plains	wr hame is belt on ay low driy ilend betwen the mase riva plans	wareham is belt on a low dry inland between the manse rival plans	0.7692307692307693	0.23529411764705882	0.38461538461538464	0.1323529411764706
the elders later ordained their successors in this way	the eldnest leter ordand the assucess uss in this way	the last letter ordained the assures us in this way	0.6666666666666666	0.24074074074074073	0.5555555555555556	0.2777777777777778
the car is then hit by a truck knocking arthur and jeffrey unconscious	te car has then hid bad truk mouking arpter ande jgefry and conioas	the car was then hid bad truck mocking air and jeffrey and conscious	0.8461538461538461	0.34285714285714286	0.6153846153846154	0.21428571428571427
he also translated chemistry articles from french and dutch into english	he alsow translated camostry articales from french and duch in to inglec	he also translated canister articles from french and dutch into ingle	0.6363636363636364	0.1527777777777778	0.18181818181818182	0.125
at the conclusion of that mission she began training operations with the battle fleet	ats the concluwsonoff that mirciman she began training oporations with sor battole flet	at the conclusion of that merriment she began training operations with a battle fleet	0.5714285714285714	0.17647058823529413	0.14285714285714285	0.10588235294117647
the name lachen means big pass	then nome nottchend molsbrick pass	then name notched brick pass	0.8333333333333334	0.4666666666666667	0.6666666666666666	0.4666666666666667
the operation later was canceled entirely	thea wal puten she le tors assen ebtained a mi	the alien she tows a tan	1.6666666666666667	0.8048780487804879	0.8333333333333334	0.6585365853658537
young andesite lava flows are common in the western part of the range	young and a sit lav flows ar calmen in the western part ofve the range	young and a site lava flows are men in the western part of the range	0.5384615384615384	0.15942028985507245	0.3076923076923077	0.10144927536231885
his daughter michelle campaigned in his stead and was elected as mati mayor	his dougter mishell campanon instird and was aeleterd as a mach an mle	his daughter shell companion instead and was elected as a match on me	0.8461538461538461	0.37333333333333335	0.6923076923076923	0.30666666666666664
the outbreak of the civil war brought peck back into the army	the out brak off the sivle wre brouht peck begk into the army	the outbreak of the civil war brought peck back into the army	0.5833333333333334	0.18032786885245902	0.0	0.0
use of leibnizian notation began to spread after this	yus of livenisem notishion begant o srad after this	yes of lavinium notion began to spread after this	0.6666666666666666	0.3018867924528302	0.3333333333333333	0.22641509433962265
a slightly easier to operate remotecontrol gearchange was provided	a slitly easer to operat remoht controle gere change was provided	a slightly easier to operate remote control gear change was provided	0.7777777777777778	0.15151515151515152	0.4444444444444444	0.030303030303030304
this was the first turbocharged twincam engine built in japan	thus was the frst tovrege hared twen cam enand balt in jupan	thus was the first tree hard wind came in and bolt in japan	0.9	0.2786885245901639	0.8	0.2786885245901639
not a lark soared carolling into the blue vault of heaven	nt a loug swadd caroling intoe tthe bloe valt of havern	not a loud swearing into the blow valet of van	0.8181818181818182	0.24561403508771928	0.5454545454545454	0.3508771929824561
lysippos was also famous for his bronze sculptures of zeus and herakles	liciposs was also famase for his bronsculcthers of sosce and hereclis	lupus was also famous for his brand coulters of so and heracles	0.5	0.30985915492957744	0.4166666666666667	0.2535211267605634
it is still used in the liturgy on trinity sunday	it is stel yors in the letsat se on tinity sanday	it is still yours in the least on trinity sunday	0.6	0.30612244897959184	0.2	0.22448979591836735
borderline and malignant mucinous tumors often have papillae and solid areas	bider lan an mad liknent mounstisnast tama ofen have papila an solid ariars	belan and made neat mistiness tamar offen have papa and solid arias	1.0	0.3684210526315789	0.7272727272727273	0.32894736842105265
your assignment is due on monday morning don't be late	yor asin ment as d on mondey morning dont be lat	your assignment as on monday morning don't be late	0.8	0.18518518518518517	0.2	0.09259259259259259
in retirement ranger was made a fellow of the oxford centre for mission studies	in retirement randa was made a felow ofve the osforld santat fore mitions studis	in retirement and was made a fellow of the usual santa for missions studies	0.5714285714285714	0.21518987341772153	0.2857142857142857	0.189873417721519
the poem comprised two books of verse in dactylic hexameter	the pame conmprised to bks off ves in day taiilek egsameta	the poeme comprised two books of verse in day tale erma	0.9	0.3728813559322034	0.4	0.22033898305084745
baines batted and threw lefthanded	baints batereds and fol left handage	ants bates and for left handed	1.0	0.38235294117647056	1.0	0.29411764705882354
nova scotia has produced numerous film actors	no vasscorsheer hess pordte nnmiaverass fridling ectals	no sor she hes got nivens riding eccles	1.0	0.6444444444444445	1.1428571428571428	0.6666666666666666
that same morse code sequence represents the letter u in the latin alphabet	that seame mons cors simitily presdente thet a tayo indrtan al forbidt	that same moss or emily present that a nation all forbid	0.9230769230769231	0.5066666666666667	0.8461538461538461	0.5066666666666667
he also inked the art of buscema's brother sal on the incredible hulk	he also lined the art of buscimor his bruothers sal ontheincredbal hole	he also learned the art of became his brothers on the incredible hole	0.6153846153846154	0.2463768115942029	0.38461538461538464	0.2463768115942029
hands free infrared proximity sensors are replacing the standard valve	hands fry in frred proccimaty senteres ar replaced in the standerd vole	hands free in fred proximity centers are replaced in the standard vale	1.0	0.2571428571428571	0.6	0.15714285714285714
other sites include the duke marine laboratory and georgia tech	avessids emnplod the gke marlin lebratery and gudge ettecke	besides implied the main laboratory and judge it	0.8	0.4444444444444444	0.7	0.4444444444444444
it is situated some to the south of the city of norwich	it is sitcuwated some to the solth of a sitdy of a logwde	it is situated some to the south of it of a lowe	0.5	0.2727272727272727	0.3333333333333333	0.23636363636363636
it soon weakened and dissipated the next day while located north of puerto rico	if son re camp and disipat hat the next day whil lokay fed nodh off or at bariar	in one camp and dissipate the next day while look a fine offer at maria	1.0	0.3924050632911392	0.7142857142857143	0.4050632911392405
due to bad health mole played very sporadically during his last years	juto wred howh ma playd to very spudad be cindly joing his asteers	to read how man played to very sad be kindly going his steers	1.0	0.4782608695652174	0.9166666666666666	0.5072463768115942
the calendar is made up of bronze fragments in a single huge plate	the calendes mad op of f tfrons frlagments in his singol showse plet	the callenders made runs fragments in his single shows let	0.8461538461538461	0.36363636363636365	0.6153846153846154	0.36363636363636365
miles is married with two children	wls aswrny drik to chehed ctn	as dick to head	1.0	0.6176470588235294	1.0	0.7058823529411765
his interment was next to his father at black hills national cemetery	as on tintinen was mectris bi tha blakirof ma	as antonina was met by that black man	1.0	0.6376811594202898	0.8333333333333334	0.6086956521739131
hym has competed at the world skateboarding championships	hem has compeated at the worlds scate bording chanmion cheps	hem has competed at the world state bring champion chess	0.875	0.19298245614035087	0.625	0.17543859649122806
they subsequently formed an oppositional group which aligned itself with the international left opposition	thay subsicuently farmed an of pousisinel dpwics aland edselfwhid the inthernational left of porsisia	they subsequently formed an opinion which landed said the international left of persia	0.8571428571428571	0.3113207547169811	0.5	0.3113207547169811
he then attended plumtree school where he became head boy	she thet atande plmetry scol wer he become had boy	he that attended me try school where he became hard by	0.8	0.2631578947368421	0.5	0.19298245614035087
the very ground itself is believed to be benefitted and rendered fertile	the very ground itself is believed to be banifeed and renderd frtile	the very ground itself is believed to be banished and rendered fertile	0.25	0.09722222222222222	0.08333333333333333	0.06944444444444445
the child is bound in the womb	the chou lis baned in the rms	the child is bound in the arms	0.5714285714285714	0.3333333333333333	0.14285714285714285	0.1
the priest asked the wife of the sacrificer to name her paramour	the prest askdd the wif ove the sacriefiser to nam her paromore	the priest asked the wife of the sacrifices or to name her paramour	0.5833333333333334	0.171875	0.16666666666666666	0.046875
riigikogu electoral district no	ar hee corgol liptonantistumino	he could lieutenant stone	1.0	0.7096774193548387	1.0	0.7741935483870968
mantlo's first run on the spectacular spiderman featured frequent appearances by the white tiger	mantlos frstran on the spectaciular spider man featured fryequent appiriences by the white tagr	mantles first ran on the spectacular spider man feared frequent appearances by the white tiger	0.6428571428571429	0.13541666666666666	0.35714285714285715	0.0625
he joined sky sports as a commentator shortly thereafter	he joined scisporets as a comentater shortely tho after	he joined scissors as a commentator shortly after	0.6666666666666666	0.17857142857142858	0.3333333333333333	0.17857142857142858
the sedan retained many of the same mechanical components with an updated interior design	vesseden retained mane ofe the same mecanical companens wit h and abdait had intiurad desain	ven retained many of the same mechanical components with and ada had instead dessin	0.9285714285714286	0.2696629213483146	0.5	0.2247191011235955
howser conducted informal often impromptu interviews with locals involved with the sites he visits	howser conducted in foarmale offan imprompe to intrvveus with locales invalt woit the sids hivisetts	horser conducted informal offen im prompt to interviews with locals in vale with the sides hivites	0.8571428571428571	0.24489795918367346	0.7142857142857143	0.16326530612244897
deer river flow is located in the northwest	der rly ros lo is lecaiterd goton lif abers	dry rot is located	1.0	0.5581395348837209	0.75	0.6511627906976745
at the dead of night he left his house	edbeit thet of nay he lived his hls	and beat thee of nay he loved his holes	0.6666666666666666	0.5526315789473685	0.6666666666666666	0.5526315789473685
iberian coins were minted at setabi	ebeiyane quins away mintet of the sitaby	being in a mine of the set	1.1666666666666667	0.5142857142857142	1.1666666666666667	0.6
vacationers also enjoyed boating and swimming in nearby lake ellis	vicactionas also engoied bulting and swuiming in neae bi lack illis	vocations also enjoyed bolting and swimming in a lake lies	0.8	0.24242424242424243	0.4	0.18181818181818182
nonetheless the socalled bridge wars would be drawn out over a number of proxies	nansnits the solo brege was would be drone owht ove ea nomber of propsile	nannie the sol brig as would be done out of a number of people	0.7142857142857143	0.35	0.5	0.35
once hardened a thermoset resin cannot be reheated and melted to be shaped differently	an hadent ay tessmong drisen canout be e het havd ben melted to the ship deifrent	an hadn't a tesman risen cannot be he had been melted to the ship different	0.9285714285714286	0.4418604651162791	0.7142857142857143	0.36046511627906974
in a few minutes the voice was heard again	in na fheu minits the wies was herd to game	in a few minutes the waves was heard to game	0.7777777777777778	0.35714285714285715	0.3333333333333333	0.23809523809523808
it contained the songs one time woman and angel	ae i	it	1.0	0.9148936170212766	0.8888888888888888	0.9574468085106383
however the path to sainthood did not go smoothly	how elva the patth to sainte hored did not gol smthely	how ever the path to saint he did not go smoothly	0.7777777777777778	0.2653061224489796	0.4444444444444444	0.10204081632653061
in the past the petrel population was severely affected by introduced mammals	in the pass thr pettrill populiion was scevirly affected by intrdused mables	in the past the petrel population was severely affected by introduced mabel	0.5833333333333334	0.2077922077922078	0.08333333333333333	0.05194805194805195
brambilla's brakes were fading and he dropped down the order	bambilas briks awere fadeing and he dropdhon the order	bambi's bricks were fading and he trod on the order	0.6	0.2	0.4	0.21666666666666667
zenkairen disputes this	tuncadan did desprotsd theiis	duncan did disprove this	1.3333333333333333	0.6956521739130435	1.0	0.5217391304347826
several more preprints have followed including the aforementioned longer manuscript by wise	sommorl prepriente ar folowed anwuisinse afor manchion longer mndescrbd by wienes	some reprints are followed enquiring for minchin longer described by wine	0.8333333333333334	0.4175824175824176	0.75	0.4065934065934066
